1457748482;36.3
1457748484;36.9
1457748487;36.9
1457748489;37.9
1457748491;37.4
1457748493;37.9
1457748495;37.4
1457748497;37.9
1457748499;37.9
1457748501;37.9
1457748503;37.9
1457748505;38.5
1457748507;37.9
1457748509;37.9
1457748511;37.9
1457748513;37.9
1457748515;38.5
1457748517;37.9
1457748519;37.9
1457748521;38.5
1457748523;37.9
1457748525;38.5
1457748527;39.0
1457748529;39.0
1457748531;38.5
1457748534;38.5
1457748536;39.0
1457748538;39.0
1457748540;39.0
1457748542;39.5
1457748544;39.5
1457748546;39.0
1457748548;39.0
1457748550;39.0
1457748552;39.0
1457748554;38.5
1457748556;38.5
1457748558;39.0
1457748560;39.0
1457748562;39.5
1457748564;39.5
1457748566;39.5
1457748568;40.1
1457748570;39.5
1457748572;40.1
1457748574;39.0
1457748576;39.5
1457748578;39.0
1457748580;39.5
1457748583;39.0
1457748585;39.5
1457748587;40.1
1457748589;39.5
1457748591;40.1
1457748593;40.1
1457748595;39.5
1457748597;39.0
1457748599;39.5
1457748601;39.0
1457748603;40.1
1457748605;40.1
1457748607;40.1
1457748609;39.5
1457748611;39.5
1457748613;40.6
1457748615;39.5
1457748617;39.0
1457748619;39.0
1457748621;39.5
1457748623;39.5
1457748625;39.5
1457748627;39.5
1457748629;39.5
1457748631;40.1
1457748633;39.5
1457748635;39.0
1457748638;39.5
1457748640;39.5
1457748642;39.0
1457748644;40.1
1457748646;39.5
1457748648;40.1
1457748650;39.5
1457748652;40.1
1457748654;40.1
1457748656;40.1
1457748658;40.1
1457748660;40.1
1457748662;40.1
1457748664;39.5
1457748666;40.1
1457748668;40.1
1457748670;40.1
1457748672;40.1
1457748674;40.1
1457748676;39.5
1457748678;39.0
1457748680;40.1
1457748682;40.1
1457748684;40.1
1457748686;40.1
1457748689;39.5
1457748691;39.0
1457748693;39.5
1457748695;40.1
1457748697;40.1
1457748699;40.1
1457748701;40.1
1457748703;40.1
1457748705;40.1
1457748707;40.6
